Date;Open;High;Low;Close
28.08.2013;9,82;10;9,64;9,94
29.08.2013;9,43;9,78;9,43;9,78
2.09.2013;9,46;9,48;9,46;9,48
3.09.2013;9,43;9,76;9,43;9,64
4.09.2013;9,62;9,62;9,38;9,48
5.09.2013;9,52;9,52;9,35;9,45
6.09.2013;9,46;9,55;9,27;9,55
9.09.2013;9,4;9,44;9,33;9,44
10.09.2013;9,41;9,58;9,34;9,42
11.09.2013;9,35;9,55;9,17;9,32
12.09.2013;9,17;9,29;9;9,18
13.09.2013;9,29;9,29;9,06;9,13
16.09.2013;9,02;9,06;8,74;8,74
17.09.2013;8,82;8,92;8,82;8,86
18.09.2013;8,82;8,84;8,58;8,65
19.09.2013;8,15;8,18;7,81;7,82
20.09.2013;7,87;7,99;7,64;7,8
23.09.2013;7,89;8,27;7,85;7,96
24.09.2013;7,89;8,07;7,87;8
25.09.2013;8,04;8,05;7,95;8,05
26.09.2013;8,1;8,15;8,05;8,15
27.09.2013;8,17;8,46;8,17;8,44
30.09.2013;8,53;8,89;8,5;8,55
1.10.2013;8,56;8,56;8,32;8,36
2.10.2013;8,43;8,43;8,32;8,33
3.10.2013;8,22;8,4;8,22;8,36
4.10.2013;8,38;8,41;8,24;8,39
7.10.2013;8,42;8,42;8,28;8,28
8.10.2013;8,21;8,21;7,89;7,89
9.10.2013;7,93;7,95;7,82;7,95
10.10.2013;7,95;8,05;7,93;7,98
11.10.2013;7,93;7,95;7,93;7,95
14.10.2013;7,95;7,95;7,95;7,95
21.10.2013;7,78;7,78;7,69;7,69
22.10.2013;7,74;7,78;7,63;7,63
23.10.2013;7,6;7,6;7,52;7,52
24.10.2013;7,54;7,6;7,54;7,57
25.10.2013;7,6;7,6;7,57;7,57
28.10.2013;7,57;7,57;7,57;7,57
30.10.2013;7,62;7,65;7,62;7,65
31.10.2013;7,8;7,8;7,77;7,8
1.11.2013;7,91;8,06;7,91;8,06
4.11.2013;8,11;8,35;8,11;8,11
5.11.2013;8,2;8,23;8,17;8,2
6.11.2013;8,25;8,25;8,23;8,23
7.11.2013;8,46;8,46;8,46;8,46
8.11.2013;8,28;8,62;8,22;8,62
11.11.2013;8,8;8,8;8,65;8,65
12.11.2013;9,07;9,07;8,7;8,89
13.11.2013;8,83;8,89;8,83;8,83
14.11.2013;8,7;8,73;8,65;8,65
15.11.2013;8,7;8,76;8,68;8,71
18.11.2013;8,68;8,68;8,59;8,68
19.11.2013;8,68;8,8;8,65;8,78
20.11.2013;8,7;9,01;8,7;8,95
21.11.2013;9,01;9,06;8,98;9,05
22.11.2013;9,08;9,08;9,01;9,01
25.11.2013;9;9;8,88;8,95
26.11.2013;8,98;9,2;8,98;9,2
27.11.2013;9,01;9,14;9,01;9,08
28.11.2013;9,17;9,23;8,98;9,08
29.11.2013;9,08;9,14;9,05;9,12
2.12.2013;9,12;9,13;9,12;9,13
3.12.2013;9,09;9,17;9,02;9,17
4.12.2013;9,12;9,31;9,11;9,21
5.12.2013;9,21;9,4;9,21;9,37
6.12.2013;9,33;9,44;9,33;9,33
9.12.2013;9,24;9,31;9,12;9,12
10.12.2013;9,12;9,15;9,02;9,02
11.12.2013;9,09;9,09;8,96;9,06
12.12.2013;9,09;9,15;9,06;9,09
13.12.2013;9,06;9,07;8,98;8,99
16.12.2013;8,96;8,99;8,84;8,92
17.12.2013;9,04;9,58;9;9,1
18.12.2013;9,35;9,39;9,22;9,36
19.12.2013;9,42;9,45;9,25;9,36
20.12.2013;9,55;9,61;9,52;9,61
23.12.2013;9,59;9,91;9,59;9,76
24.12.2013;9,72;9,72;9,59;9,68
25.12.2013;9,5;9,62;9,42;9,56
26.12.2013;9,56;9,82;9,56;9,73
27.12.2013;10,06;10,37;9,89;10,17
30.12.2013;10,2;10,25;10,13;10,17
31.12.2013;10,1;10,2;9,97;10,1
2.01.2014;10,04;10,51;10,04;10,24
3.01.2014;10,24;10,27;9,77;10,17
6.01.2014;10,25;10,46;10,11;10,25
7.01.2014;10,25;10,39;9,91;10,02
8.01.2014;10,02;10,11;9,99;10,02
9.01.2014;10,16;10,16;9,88;9,88
10.01.2014;9,88;9,88;9,72;9,86
13.01.2014;9,86;10,06;9,79;9,86
14.01.2014;10;10;9,79;9,86
15.01.2014;9,97;10;9,94;9,95
16.01.2014;10,13;10,13;10,02;10,04
17.01.2014;10,04;10,05;10,04;10,04
20.01.2014;10,19;10,19;10,15;10,16
21.01.2014;10,16;10,22;10,16;10,19
22.01.2014;10,26;10,26;10,19;10,22
23.01.2014;10,29;10,65;10,26;10,49
24.01.2014;10,5;10,99;10,37;10,97
27.01.2014;11,01;11,17;10,66;10,94
28.01.2014;10,91;11,09;10,87;10,88
29.01.2014;10,88;10,91;10,63;10,88
30.01.2014;11,09;11,24;10,95;10,95
31.01.2014;11,03;11,06;11,03;11,05
3.02.2014;11,04;11,04;11,04;11,04
4.02.2014;10,98;10,98;10,8;10,83
5.02.2014;10,72;10,72;10,65;10,67
6.02.2014;10,69;10,8;10,68;10,68
7.02.2014;10,69;10,77;10,59;10,6
10.02.2014;10,7;10,74;10,64;10,72
11.02.2014;10,71;10,93;10,7;10,79
12.02.2014;10,81;10,81;10,72;10,72
13.02.2014;10,71;10,8;10,71;10,8
